Date, Open, High, Low, Close
05/04/22, 3397.93, 3403.37, 3382.81, 3391.46
05/03/22, 3388.96, 3406.12, 3376.11, 3398.38
05/02/22, 3403.59, 3415.84, 3375.92, 3387.27
04/29/22, 3348.50, 3413.30, 3346.91, 3407.94
04/28/22, 3309.16, 3358.79, 3307.95, 3343.24
04/27/22, 3332.16, 3335.23, 3300.44, 3304.86
04/26/22, 3346.02, 3368.13, 3336.88, 3349.60
04/25/22, 3414.36, 3414.36, 3343.84, 3349.09
04/22/22, 3456.24, 3456.86, 3411.73, 3424.59
04/21/22, 3482.97, 3490.71, 3471.42, 3478.31
04/20/22, 3453.04, 3489.18, 3451.85, 3488.20
04/19/22, 3479.08, 3482.69, 3436.86, 3443.74
04/18/22, 3475.14, 3477.40, 3458.58, 3468.47
04/15/22, 3494.17, 3500.15, 3481.37, 3498.33
04/14/22, 3509.71, 3525.02, 3507.58, 3510.04
04/13/22, 3481.35, 3516.59, 3481.35, 3501.35
04/12/22, 3493.26, 3495.25, 3456.64, 3478.82
04/11/22, 3540.33, 3551.99, 3498.45, 3502.13
04/08/22, 3553.96, 3560.11, 3531.34, 3545.61
04/07/22, 3588.56, 3588.56, 3546.89, 3547.87
04/06/22, 3636.45, 3636.82, 3596.71, 3601.17
04/05/22, 3666.07, 3672.39, 3653.73, 3656.34
04/04/22, 3634.75, 3662.83, 3633.14, 3661.02
04/01/22, 3651.30, 3651.30, 3608.41, 3629.49
03/31/22, 3674.28, 3680.15, 3642.48, 3655.45
03/30/22, 3652.54, 3680.85, 3639.59, 3667.97
03/29/22, 3594.56, 3662.02, 3593.46, 3651.47
03/28/22, 3610.39, 3620.21, 3584.26, 3599.87
03/25/22, 3631.54, 3645.84, 3609.38, 3612.51
03/24/22, 3646.21, 3649.45, 3611.26, 3633.88
03/23/22, 3581.07, 3653.80, 3580.85, 3648.01
03/22/22, 3531.10, 3590.18, 3531.10, 3586.40
03/21/22, 3552.78, 3566.75, 3526.48, 3536.89
03/18/22, 3549.96, 3570.68, 3525.00, 3554.14
03/17/22, 3415.57, 3552.31, 3415.57, 3549.55
03/16/22, 3305.59, 3420.49, 3305.57, 3414.05
03/15/22, 3346.35, 3360.06, 3296.12, 3307.39
03/14/22, 3384.57, 3415.32, 3354.43, 3357.04
03/11/22, 3464.54, 3467.55, 3375.52, 3393.92
03/10/22, 3464.54, 3464.54, 3464.30, 3464.30
03/09/22, 3374.49, 3374.58, 3370.56, 3370.59
03/08/22, 3359.14, 3359.69, 3359.14, 3359.68
03/07/22, 3395.84, 3396.33, 3395.84, 3396.33
03/04/22, 3583.99, 3585.69, 3504.07, 3525.91
03/03/22, 3583.99, 3584.42, 3583.66, 3584.37
03/02/22, 3561.17, 3561.74, 3561.17, 3561.73
03/01/22, 3605.00, 3605.00, 3605.00, 3605.00
02/28/22, 3594.27, 3594.27, 3594.27, 3594.27
02/25/22, 3557.34, 3586.00, 3553.91, 3573.97
02/24/22, 3557.34, 3557.34, 3557.34, 3557.34
02/23/22, 3665.70, 3665.93, 3658.29, 3658.61
02/22/22, 3653.12, 3653.37, 3653.12, 3653.28
02/21/22, 3699.15, 3699.15, 3698.52, 3698.85
02/18/22, 3755.94, 3756.55, 3713.67, 3714.33
02/17/22, 3755.94, 3755.99, 3755.94, 3755.99
02/16/22, 3760.16, 3760.40, 3760.05, 3760.40
02/15/22, 3693.97, 3693.98, 3693.56, 3693.71
02/14/22, 3742.66, 3742.66, 3742.56, 3742.56
02/11/22, 3798.78, 3799.58, 3773.61, 3791.68
02/10/22, 3798.78, 3799.00, 3798.78, 3799.00
02/09/22, 3787.09, 3787.16, 3787.09, 3787.16
02/08/22, 3736.32, 3736.32, 3733.32, 3734.07
02/07/22, 3729.15, 3729.41, 3729.09, 3729.23
02/04/22, 3694.62, 3736.15, 3686.27, 3723.66
02/03/22, 3694.62, 3694.62, 3694.48, 3694.48
02/02/22, 3728.44, 3728.58, 3728.24, 3728.42
02/01/22, 3678.30, 3681.81, 3678.30, 3681.81
01/31/22, 3673.05, 3673.05, 3669.84, 3669.84
01/28/22, 3589.71, 3647.06, 3587.30, 3639.46
01/27/22, 3589.71, 3589.71, 3589.71, 3589.71
01/26/22, 3687.22, 3687.51, 3687.22, 3687.51
01/25/22, 3771.42, 3771.42, 3683.44, 3700.01
01/24/22, 3771.42, 3771.42, 3771.42, 3771.42
01/21/22, 3838.89, 3839.52, 3777.04, 3804.66
01/20/22, 3838.89, 3838.89, 3838.24, 3838.26
01/19/22, 3781.50, 3783.88, 3781.50, 3783.63
01/18/22, 3837.69, 3837.81, 3837.69, 3837.76
01/17/22, 3868.10, 3868.10, 3868.10, 3868.10
01/14/22, 3908.58, 3908.58, 3847.81, 3869.57
01/13/22, 3908.58, 3908.58, 3907.18, 3907.18
01/12/22, 3896.43, 3896.59, 3896.43, 3896.59
01/11/22, 3809.93, 3810.34, 3809.34, 3810.23
01/10/22, 3816.42, 3816.42, 3816.42, 3816.42
01/07/22, 3760.95, 3795.47, 3760.13, 3793.07
01/06/22, 3760.95, 3761.40, 3760.95, 3761.26
01/05/22, 3817.12, 3818.00, 3817.12, 3817.87
01/04/22, 3824.97, 3825.81, 3824.97, 3825.66
01/03/22, 3766.25, 3766.49, 3765.86, 3765.86
12/31/21, 3763.58, 3782.20, 3758.68, 3773.78
12/30/21, 3763.58, 3763.58, 3763.33, 3763.33
12/29/21, 3772.24, 3774.01, 3772.24, 3774.01
12/28/21, 3781.89, 3782.48, 3781.89, 3782.30
12/27/21, 3766.82, 3768.40, 3755.33, 3756.02
12/24/21, 3765.26, 3777.52, 3762.98, 3766.38
12/23/21, 3765.26, 3766.25, 3765.26, 3765.94
12/22/21, 3712.51, 3729.65, 3709.56, 3725.67
12/21/21, 3712.51, 3713.08, 3712.50, 3713.08
12/20/21, 3731.08, 3731.22, 3664.71, 3671.48
12/17/21, 3767.64, 3774.15, 3729.75, 3735.57
12/16/21, 3767.64, 3767.98, 3767.57, 3767.86
